model,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
soft_voting_ensemble,1.0,1.0,1.0,1.0,1.0,1.0,1.0
efficientnetb0,0.9983333333333333,0.9983552631578948,0.9983333333333333,0.9983332592559668,0.9983552631578947,0.9983333333333333,0.9983332592559669
mobilenetv3large,0.9966666666666667,0.9967105263157894,0.9966666666666667,0.9966665185119339,0.9967105263157895,0.9966666666666667,0.9966665185119339
convnexttiny,0.9916666666666667,0.9919455544455544,0.9916666666666667,0.9916983150530588,0.9919455544455544,0.9916666666666667,0.9916983150530587
