model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
efficientnetb0,0.9983333333333333,0.9983552631578947,0.9983333333333333,0.9983332592559669,0.9983552631578948,0.9983333333333333,0.9983332592559668
mobilenetv3large,0.9966666666666667,0.9967105263157895,0.9966666666666667,0.9966665185119339,0.9967105263157894,0.9966666666666667,0.9966665185119339
convnexttiny,0.9916666666666667,0.9919455544455544,0.9916666666666667,0.9916983150530587,0.9919455544455544,0.9916666666666667,0.9916983150530588
